id,title,author,author_nationality,genre,subgenre,language,pub_year,pages,publisher,isbn,series,series_number,rating,awards,description,keywords,cover_image_url
1,Pride and Prejudice,Jane Austen,British,Fiction,Romance/Classic,English,1813,432,T. Egerton,9780141439518,,,4.26,,"A sharp-witted exploration of manners, marriage and morality in early 19th-century England.","regency,romance,social commentary",https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg
2,1984,George Orwell,British,Fiction,Dystopian/Political,English,1949,328,Secker & Warburg,9780451524935,,,4.17,,A chilling depiction of totalitarian surveillance and state control.,"dystopia,totalitarianism,propaganda",https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg
3,The Great Gatsby,F. Scott Fitzgerald,American,Fiction,Tragedy/Classic,English,1925,180,Charles Scribner's Sons,9780743273565,,,3.91,,"An examination of the American Dream through wealth, love, and illusion.","1920s,american dream,wealth",https://covers.openlibrary.org/b/isbn/9780743273565-L.jpg
4,To Kill a Mockingbird,Harper Lee,American,Fiction,Coming-of-age/Legal drama,English,1960,281,J.B. Lippincott & Co.,9780061120084,,,4.27,Pulitzer Prize 1961,A young girl's view of racial injustice and moral growth in the American South.,"race,justice,childhood",https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg
5,The Hobbit,J.R.R. Tolkien,British,Fantasy,High fantasy/Adventure,English,1937,310,George Allen & Unwin,9780618968633,The Lord of the Rings,0,4.27,,Bilbo Baggins' unexpected journey that sets the stage for epic tales to follow.,"fantasy,adventure,dragons",https://covers.openlibrary.org/b/isbn/9780618968633-L.jpg
6,The Name of the Wind,Patrick Rothfuss,American,Fantasy,Epic/Character-driven,English,2007,662,DAW Books,9780756404741,The Kingkiller Chronicle,1,4.53,,"An adventurer and musician recounts his life, magic and tragedies.","magic,storytelling,academy",https://covers.openlibrary.org/b/isbn/9780756404741-L.jpg
7,Beloved,Toni Morrison,American,Fiction,Historical/Gothic,English,1987,324,Alfred A. Knopf,9781400033416,,,3.86,Pulitzer Prize 1988,A former slave confronts haunting memories and a past that refuses to die.,"slavery,trauma,supernatural",https://covers.openlibrary.org/b/isbn/9781400033416-L.jpg
8,Invisible Cities,Italo Calvino,Italian,Fiction,Philosophical/Experimental,Italian,1972,165,Giulio Einaudi Editore,9780156453806,,,3.86,,A poetic meditation composed of imagined cities described to a famous explorer.,"allegory,imaginary,cities",https://covers.openlibrary.org/b/isbn/9780156453806-L.jpg
9,The Catcher in the Rye,J.D. Salinger,American,Fiction,Coming-of-age/Controversial,English,1951,214,"Little, Brown and Company",9780316769488,,,3.8,,A teenager's candid account of alienation and identity in postwar America.,"adolescence,alienation,rebellion",https://covers.openlibrary.org/b/isbn/9780316769488-L.jpg
10,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Israeli,Nonfiction,History/Anthropology,English,2011,498,Harvill Secker,9780062316097,,,4.4,,"A sweeping narrative of human evolution, culture, and impact.","evolution,culture,history",https://covers.openlibrary.org/b/isbn/9780062316097-L.jpg
11,The Silent Garden,Maya Hart,American,Mystery,Psychological Thriller,English,2018,352,Bluebridge Press,9780480980979,Silent Garden,1,4.02,,A detective returns to her hometown to investigate a string of disappearances tied to a neglected estate.,"mystery,detective,small town",https://covers.openlibrary.org/b/isbn/9780480980979-L.jpg
12,The Glass Ocean,Liam O'Reilly,Irish,Historical Fiction,Maritime/Drama,English,2003,416,Harbor House,9789611503469,,,3.95,,Interwoven lives aboard ships crossing the Atlantic during turbulent times.,"sea,war,intertwined lives",https://covers.openlibrary.org/b/isbn/9789611503469-L.jpg
13,Moonlit Orchard,Aisha Rahman,Pakistani,Literary Fiction,Family Saga,English,2015,288,Mirage Press,9786637514691,,,4.11,,Generational tensions and secrets unfold on a rural orchard in South Asia.,"family,secrets,tradition",https://covers.openlibrary.org/b/isbn/9786637514691-L.jpg
14,Quantum Hearts,Ethan Cole,Canadian,Science Fiction,Romance/Hard SF,English,2021,372,NovaWorks,9786908680896,Quantum Series,1,4.01,,A scientist and an AI navigate love and ethical dilemmas in a near-future lab.,"ai,ethics,romance",https://covers.openlibrary.org/b/isbn/9786908680896-L.jpg
15,The Last Orchard,Sven Larsson,Swedish,Speculative Fiction,Eco-fiction,English,2019,304,GreenLeaf,9786896233463,,,3.78,,A dying ecosystem forces a community to confront past choices and rebuild.,"environment,community,rebirth",https://covers.openlibrary.org/b/isbn/9786896233463-L.jpg
16,Crimson Streets,Nora Kline,American,Crime,Noir/Detective,English,1998,410,Blacklight Books,9789434963662,Detective Kline,2,4.08,,A gritty detective unravels corruption across a metropolis where nothing is what it seems.,"noir,corruption,detective",https://covers.openlibrary.org/b/isbn/9789434963662-L.jpg
17,House of Paper,Isabella Moretti,Italian,Magical Realism,Family/Surreal,Italian,2009,236,Luna Editore,9787156010367,,,3.99,,A family home literally keeps the memories of its occupants bound in paper books.,"memory,magical realism,family",https://covers.openlibrary.org/b/isbn/9787156010367-L.jpg
18,Children of Dust,R. K. Singh,Indian,Historical Fiction,Partition-era Drama,English,2001,448,Epoch Press,9787178280151,,,4.12,,Lives shattered and remade during a tumultuous period of migration and division.,"partition,migration,history",https://covers.openlibrary.org/b/isbn/9787178280151-L.jpg
19,Echoes in Amber,Claire Dupont,French,Romance,Historical Romance,French,2010,320,Éditions Lumière,9780446730167,Amber Chronicles,1,4.05,,A wartime love story told through letters and lost heirlooms.,"letters,wartime,heirloom",https://covers.openlibrary.org/b/isbn/9780446730167-L.jpg
20,The Algorithm's Child,Hiro Tanaka,Japanese,Science Fiction,Near-future/AI,English,2024,400,Futurum Press,9786285537684,,,4.22,,A parent's struggle to raise a child shaped in part by algorithmic social systems.,"ai,society,parenting",https://covers.openlibrary.org/b/isbn/9786285537684-L.jpg
21,The Paper Lantern,Mei Lin,Chinese,Young Adult,Contemporary,English,2016,256,Lotus Reads,9781605978475,,,4.1,,A teen navigates identity and tradition during a transformative summer.,"coming of age,identity,tradition",https://covers.openlibrary.org/b/isbn/9781605978475-L.jpg
22,Shadows Over Meridian,Derek Hale,British,Fantasy,Urban fantasy,English,2012,488,Silver Quill,9787740315519,Meridian Cycle,1,4.0,,Hidden magic in modern streets leads to a war between old families.,"urban fantasy,magic,family",https://covers.openlibrary.org/b/isbn/9787740315519-L.jpg
23,The Cartographer's Daughter,Ana Sousa,Portuguese,Adventure,Historical/Exploration,English,1995,356,Atlas Press,9788453764649,,,3.92,,"Maps, lost charts, and a quest to find a forgotten coastline change one woman's life.","exploration,maps,adventure",https://covers.openlibrary.org/b/isbn/9788453764649-L.jpg
24,Paper Tigers,Marcus Bell,Australian,Literary Fiction,Buddy Drama,English,2006,278,Southern Cross,9782674225248,,,3.88,,"Two friends confront aging, loss, and the small rebellions that keep them alive.","friendship,aging,loss",https://covers.openlibrary.org/b/isbn/9782674225248-L.jpg
25,Starlight Protocol,Nadia Petrova,Russian,Science Fiction,Space Opera,English,2020,520,Cosmos Press,9780669362527,Starlight Saga,1,4.18,,Interstellar politics collide with personal loyalties aboard a fleet on the edge of war.,"space opera,politics,epic",https://covers.openlibrary.org/b/isbn/9780669362527-L.jpg
26,The Velvet Key,Lena Alvarez,Spanish,Gothic,Mystery/Historical,Spanish,1984,436,Casa Negra,9789181769647,,,3.9,,"A crumbling manor, a missing heir, and secrets hidden in velvet-lined drawers.","manor,mystery,gothic",https://covers.openlibrary.org/b/isbn/9789181769647-L.jpg
27,Fragments of Light,Oluwaseun Adeyemi,Nigerian,Speculative Fiction,Afrofuturism,English,2017,312,Ebony House,9782626921761,,,4.24,,A culturally rich future where technology and tradition intertwine.,"afrofuturism,technology,heritage",https://covers.openlibrary.org/b/isbn/9782626921761-L.jpg
28,Midnight's Orchard,Priya Menon,Indian,Romance,Contemporary,English,2008,304,Seasons Press,9784638248409,,,3.97,,Two former lovers reunite at an orchard that holds shared memories and regrets.,"reunion,memories,romance",https://covers.openlibrary.org/b/isbn/9784638248409-L.jpg
29,Atlas of Small Wonders,Gabriel Ortega,Mexican,Nonfiction,Travel/Essay,Spanish,2013,224,Ruta Editorial,9787507435467,,,4.06,,An intimate collection of essays about overlooked places and brief encounters.,"travel,essays,places",https://covers.openlibrary.org/b/isbn/9787507435467-L.jpg
30,Broken Compass,Hannah Brooks,British,Thriller,Action/Conspiracy,English,2014,392,Ironclad,9780158834153,Broken Compass,1,4.03,,A journalist uncovers a conspiracy that puts her life and world view at risk.,"conspiracy,journalism,thriller",https://covers.openlibrary.org/b/isbn/9780158834153-L.jpg
31,River of Glass,Katarzyna Nowak,Polish,Literary Fiction,Coming-of-age,Polish,1999,290,Biala Karta,9782447884481,,,3.85,,A young woman's passage to adulthood framed by a river that shapes her town.,"coming of age,river,community",https://covers.openlibrary.org/b/isbn/9782447884481-L.jpg
32,The Metal Orchard,K. Venkatesh,Indian,Science Fiction,Cyberpunk,English,2022,448,NeoPress,9789626453230,Orchard Cycle,1,4.15,,A neon-drenched city where biotech orchards power an unequal society.,"cyberpunk,biotech,city",https://covers.openlibrary.org/b/isbn/9789626453230-L.jpg
33,Daughters of Ash,Fiona MacLeod,Scottish,Fantasy,Historical Fantasy,English,1992,368,Highland Books,9783770352791,Ashen Tales,1,3.89,,Sisters bound to an ancient fire magic must choose between power and freedom.,"sisters,magic,legacy",https://covers.openlibrary.org/b/isbn/9783770352791-L.jpg
34,A Week in Cairo,Youssef Karim,Egyptian,Contemporary Fiction,Slice of Life,Arabic,2011,210,Nile Press,9780837060095,,,3.94,,Seven interconnected stories unfolding across one transformative week in Cairo.,"stories,city life,interconnected",https://covers.openlibrary.org/b/isbn/9780837060095-L.jpg
35,The Silent Thread,Emily Rivers,American,Romance,Historical,English,2000,334,Willow Books,9785936024269,,,3.87,,A seamstress' hidden correspondence changes destinies across classes.,"letters,class,seamstress",https://covers.openlibrary.org/b/isbn/9785936024269-L.jpg
36,Neon Saints,Carlos Mendes,Brazilian,Urban Fiction,Magical Realism/Crime,Portuguese,2018,402,Praia Azul,9787837389560,,,4.0,,Saints haunt the graffiti-splashed neighborhoods where saints and sinners collide.,"magical realism,urban,graffiti",https://covers.openlibrary.org/b/isbn/9787837389560-L.jpg
37,The Clockmaker's Promise,Henrik Olsen,Danish,Historical Fiction,Mystery/Inventor,English,1987,312,Nordic House,9780270034707,,,3.93,,An inventor's secrets set off a chain of events that reshape a town's future.,"invention,mystery,legacy",https://covers.openlibrary.org/b/isbn/9780270034707-L.jpg
38,Silk and Steel,Amrita Chopra,Indian,Historical Fiction,Epic/Trade Routes,English,2005,512,Indus Publishing,9782486202772,,,4.2,,"Merchants, sailors and empires interact along ancient trade routes in this sweeping tale.","trade,empire,epic",https://covers.openlibrary.org/b/isbn/9782486202772-L.jpg
39,The Last Librarian,Zoe Park,Korean,Dystopian,Speculative/Book banning,English,2023,344,New Dawn,9782419950220,,,4.09,,"In a future where books are forbidden, one librarian preserves memory and dissent.","dystopia,books,censorship",https://covers.openlibrary.org/b/isbn/9782419950220-L.jpg
40,Waves Without Wind,Luca Romano,Italian,Literary Fiction,Experimental,Italian,1990,198,Marea Editore,9789824056042,,,3.84,,"A lyrical exploration of silence, motion and the human impulse to narrate.","experimental,lyrical,silence",https://covers.openlibrary.org/b/isbn/9789824056042-L.jpg
41,Silent Promise,Luna Gonzalez,Pakistani,Mystery,Psychological Thriller,French,2023,207,Bloomsbury,9784018564327,,,4.21,,A synthetic sample description generated for dataset testing and demonstrations.,"family,future,magic",https://covers.openlibrary.org/b/isbn/9784018564327-L.jpg
